Sheet,Entity,Plural Display Name,Description,Schema Name,Logical Name,Object Type Code,Is Custom Entity,Ownership Type,Display Name,Attribute Type,Custom Attribute,Type,Required Level,Additional data
Entities list,Concur Submission,Concur Submissions,,pt_concursubmission,pt_concursubmission,10283,True,UserOwned,,,,,,
Entities list,Consolidation Management,Consolidation Management,,pt_consolidationmanagement,pt_consolidationmanagement,10073,True,UserOwned,,,,,,
Entities list,CCMS Contract,CCMS Contracts,,pt_contract,pt_contract,10074,True,UserOwned,,,,,,
Entities list,Contract Number,Contract Numbers,,pt_contractnumber,pt_contractnumber,10075,True,UserOwned,,,,,,
Entities list,Contract Number Passcode,Contract Number Passcodes,,pt_ContractNumberPasscode,pt_contractnumberpasscode,10720,True,UserOwned,,,,,,
Entities list,Contract Number Passcode Email,Contract Number Passcode Emails,,pt_ContractNumberPasscodeEmail,pt_contractnumberpasscodeemail,10721,True,UserOwned,,,,,,
Entities list,Country,Countries,,pt_country,pt_country,10076,True,UserOwned,,,,,,
Entities list,County,Counties,,pt_county,pt_county,10077,True,UserOwned,,,,,,
Entities list,Crud Operation,Crud Operations,,pt_crudoperation,pt_crudoperation,10134,True,OrganizationOwned,,,,,,
Entities list,Data Formatter,Data Formatters,Is used to add specific data validators and formatters for data entry.,pt_dataformatter,pt_dataformatter,10063,True,OrganizationOwned,,,,,,
Entities list,Deleted Voucher Item,Deleted Voucher Items,List of voucher items that have been deleted and need to be posted to concur.,pt_deletedvoucheritem,pt_deletedvoucheritem,10284,True,UserOwned,,,,,,
Entities list,Event Action,Event Actions,,pt_eventaction,pt_eventaction,10078,True,UserOwned,,,,,,
Entities list,Event Category,Event Categories,,pt_eventcategory,pt_eventcategory,10079,True,UserOwned,,,,,,
Entities list,Event History,Event History,,pt_eventhistory,pt_eventhistory,10080,True,UserOwned,,,,,,
Entities list,Hub,Hubs,,pt_fieldoffice,pt_fieldoffice,10081,True,UserOwned,,,,,,
Entities list,Hub Member History,Hub Member Histories,,pt_fieldofficememberhistory,pt_fieldofficememberhistory,10082,True,UserOwned,,,,,,
Entities list,Fiscal Year End Case Details,Fiscal Year End Case Details,,pt_fiscalyearcasedetails,pt_fiscalyearcasedetails,10122,True,OrganizationOwned,,,,,,
Entities list,Flow Event Trigger,Flow Event Triggers,,pt_floweventtrigger,pt_floweventtrigger,10131,True,UserOwned,,,,,,
Entities list,FMCS Case,FMCS Cases,,pt_fmcscase,pt_fmcscase,10083,True,UserOwned,,,,,,
Entities list,FMCS Case Metadata,FMCS Case Metadata,Metadata tags associated with a given fmcs case record.,pt_FMCSCaseMetadata,pt_fmcscasemetadata,10303,True,UserOwned,,,,,,
Entities list,FMCS Case Region,FMCS Case Regions,An entity that keeps track of all the regions that are part of this case via case mediators.,pt_fmcscaseregion,pt_fmcscaseregion,10084,True,UserOwned,,,,,,
Entities list,FMCS Case Statistics,FMCS Case Statistics,,pt_fmcscasestatistics,pt_fmcscasestatistics,10132,True,OrganizationOwned,,,,,,
Entities list,FMCS Role,FMCS Roles,,pt_fmcsrole,pt_fmcsrole,10085,True,UserOwned,,,,,,
Entities list,Case Survey Queue,Case Survey Queue,Log of all the surveys that have been requested to be sent.,pt_FMCSSurveyQueue,pt_fmcssurveyqueue,10298,True,OrganizationOwned,,,,,,
Entities list,Health Care Issue,Health Care Issues,,pt_healthcareissue,pt_healthcareissue,10086,True,UserOwned,,,,,,
Entities list,Industry,Industries,,pt_industry,pt_industry,10087,True,UserOwned,,,,,,
Entities list,CCMS Invoice,CCMS Invoices,,pt_invoice,pt_invoice,10436,True,UserOwned,,,,,,
Entities list,Invoice Auto Number,Invoice Auto Numbers,,pt_invoiceautonumber,pt_invoiceautonumber,10437,True,OrganizationOwned,,,,,,
Entities list,Invoice Batch,Invoice Batches,,pt_invoicebatch,pt_invoicebatch,10438,True,UserOwned,,,,,,
Entities list,IT Action,IT Actions,,pt_itaction,pt_itaction,10129,True,OrganizationOwned,,,,,,
Entities list,IT Case Activity Metadata,IT Case Activity Metadata,,pt_itcaseactivitymetadata,pt_itcaseactivitymetadata,10304,True,UserOwned,,,,,,
Entities list,IT Case Metadata,IT Case Metadata,,pt_itcasemetadata,pt_itcasemetadata,10305,True,UserOwned,,,,,,
Entities list,Voucher Pre-Authorization,Voucher Pre-Authorizations,,pt_itinerary,pt_itinerary,10285,True,UserOwned,,,,,,
Entities list,IT Case Metadata Bulk Process,IT Case Metadata Bulk Processes,,pt_itmetadatabulkprocess,pt_itmetadatabulkprocess,10306,True,UserOwned,,,,,,
Entities list,Letter for Child Case,Letters for Child Case,,pt_letterforchildcase,pt_letterforchildcase,10088,True,UserOwned,,,,,,
Entities list,Letter Type,Letter Types,,pt_lettertype,pt_lettertype,10089,True,UserOwned,,,,,,
Entities list,Line Item,Line Items,,pt_lineitem,pt_lineitem,10139,True,UserOwned,,,,,,
Entities list,Line Item Daily Overview,Line Item Daily Overview,,pt_lineitemdailyoverview,pt_lineitemdailyoverview,10140,True,UserOwned,,,,,,
Entities list,Line Item Header,Line Item Headers,,pt_lineitemheader,pt_lineitemheader,10350,True,UserOwned,,,,,,
Entities list,Line Item Case Overview,Line Item Case Overview,,pt_lineitemoverview,pt_lineitemoverview,10141,True,UserOwned,,,,,,
Entities list,Major Issue,Major Issues,,pt_majorissue,pt_majorissue,10090,True,UserOwned,,,,,,
Entities list,Map Detail,Map Details,,pt_mapdetail,pt_mapdetail,10286,True,UserOwned,,,,,,
Entities list,Mediator Zip Distance,Mediator Zip Distances,The distance in miles from the mediator's zip to others zip.,pt_MediatorZipDistance,pt_mediatorzipdistance,10758,True,OrganizationOwned,,,,,,
Entities list,Metadata,Metadata,,pt_Metadata,pt_metadata,10307,True,UserOwned,,,,,,
Entities list,National Case,National Cases,,pt_nationalcase,pt_nationalcase,10091,True,UserOwned,,,,,,
Entities list,NP Assign History,NP Assign History,The entity is used just to give NP Admin users the ability to do a bulk assignment to multiple notices at once without giving them the notice form itself.,pt_nputaghistory,pt_nputaghistory,10092,True,UserOwned,,,,,,
Entities list,Budget Review,Budget Reviews,,pt_ocmpbudgetreview,pt_ocmpbudgetreview,10093,True,UserOwned,,,,,,
Entities list,Panel Mediator,Panel Mediators,,pt_panelmediator,pt_panelmediator,10094,True,UserOwned,,,,,,
Entities list,Participant Type,Participant Types,,pt_participanttype,pt_participanttype,10095,True,UserOwned,,,,,,
Entities list,PDF Service Config,PDF Service Config,,pt_pdfserviceconfig,pt_pdfserviceconfig,10096,True,UserOwned,,,,,,
Entities list,PDF Service Log,PDF Service Logs,,pt_pdfservicelog,pt_pdfservicelog,10097,True,UserOwned,,,,,,
Entities list,Portal Admin Request,Portal Admin Requests,,pt_PortalAdminRequest,pt_portaladminrequest,10759,True,UserOwned,,,,,,
Entities list,Portal Log,Portal Logs,,pt_PortalLog,pt_portallog,10760,True,UserOwned,,,,,,
Entities list,Portal User,Portal Users,,pt_PortalUser,pt_portaluser,10761,True,UserOwned,,,,,,
Entities list,Portal User Contract,Portal User Contracts,,pt_PortalUserContract,pt_portalusercontract,10762,True,UserOwned,,,,,,
Entities list,Relationship Check Request,Relationship Check Requests,,pt_RelationshipCheckRequest,pt_relationshipcheckrequest,10592,True,UserOwned,,,,,,
Entities list,Relationship Check Request Record,Relationship Check Request Records,,pt_RelationshipCheckRequestRecord,pt_relationshipcheckrequestrecord,10593,True,UserOwned,,,,,,
Entities list,Relationship Check Request Record Result,Relationship Check Request Record Results,,pt_RelationshipCheckRequestRecordResult,pt_relationshipcheckrequestrecordresult,10594,True,UserOwned,,,,,,
Entities list,Relationship Check Table,Relationship Check Tables,,pt_RelationshipCheckTable,pt_relationshipchecktable,10595,True,UserOwned,,,,,,
Entities list,Relationship Check Table Relationship,Relationship Check Table Relationships,,pt_RelationshipCheckTableRelationship,pt_relationshipchecktablerelationship,10596,True,UserOwned,,,,,,
Entities list,Sector,Sectors,,pt_sector,pt_sector,10098,True,UserOwned,,,,,,
Entities list,Service,Services,,pt_service,pt_service,10439,True,UserOwned,,,,,,
Entities list,Service Category,Service Categories,,pt_servicecategory,pt_servicecategory,10351,True,UserOwned,,,,,,
Entities list,Service Charge,Service Charges,,pt_servicecharge,pt_servicecharge,10352,True,UserOwned,,,,,,
Entities list,Signature,Signatures,,pt_signature,pt_signature,10099,True,UserOwned,,,,,,
Entities list,State,States,,pt_state,pt_state,10100,True,UserOwned,,,,,,
Entities list,Stoppage Impact,Stoppage Impacts,,pt_stoppageimpact,pt_stoppageimpact,10101,True,UserOwned,,,,,,
Entities list,Case Survey,Case Surveys,,pt_Survey,pt_survey,10299,True,OrganizationOwned,,,,,,
Entities list,Trip Purpose,Trip Purposes,,pt_trippurpose,pt_trippurpose,10287,True,UserOwned,,,,,,
Entities list,Union List,Union Lists,,pt_Union,pt_union,10744,True,UserOwned,,,,,,
Entities list,Union Assignment,Union Assignments,,pt_UnionAssignment,pt_unionassignment,10745,True,UserOwned,,,,,,
Entities list,Year,Years,,pt_year,pt_year,10440,True,OrganizationOwned,,,,,,
Entities list,Zip Code,Zip Codes,,pt_zipcode,pt_zipcode,10102,True,UserOwned,,,,,,
Entities list,User,Users,Person with access to the Microsoft CRM system and who owns objects in the Microsoft CRM database.,SystemUser,systemuser,8,False,BusinessOwned,,,,,,
Entities list,Team,Teams,Collection of system users that routinely collaborate. Teams can be used to simplify record sharing and provide team members with common access to organization data when team members belong to different Business Units.,Team,team,9,False,BusinessOwned,,,,,,
Organization (Account),,,Select a category to indicate whether the customer account is standard or preferred.,AccountCategoryCode,accountcategorycode,,,,Category,Choice,False,Simple,None,"Options:_x000D_
1: Preferred Customer_x000D_
2: Standard_x000D_
Default: N/A"
Organization (Account),,,N/A,AccountCategoryCodeName,accountcategorycodename,,,,N/A,Virtual,False,Simple,None,
Organization (Account),,,"Select a classification code to indicate the potential value of the customer account based on the projected return on investment, cooperation level, sales cycle length or other criteria.",AccountClassificationCode,accountclassificationcode,,,,Classification,Choice,False,Simple,None,"Options:_x000D_
1: Default Value_x000D_
Default: 1"
Organization (Account),,,N/A,AccountClassificationCodeName,accountclassificationcodename,,,,N/A,Virtual,False,Simple,None,
Organization (Account),,,Unique identifier of the account.,AccountId,accountid,,,,Account,Uniqueidentifier,False,Simple,SystemRequired,
Organization (Account),,,Type an ID number or code for the account to quickly search and identify the account in system views.,AccountNumber,accountnumber,,,,Organization Number,Text,False,Simple,None,"Format: Text_x000D_
Max length: 20"
Organization (Account),,,Select a rating to indicate the value of the customer account.,AccountRatingCode,accountratingcode,,,,Account Rating,Choice,False,Simple,None,"Options:_x000D_
1: Default Value_x000D_
Default: 1"
Organization (Account),,,N/A,AccountRatingCodeName,accountratingcodename,,,,N/A,Virtual,False,Simple,None,
Organization (Account),,,Unique identifier for address 1.,Address1_AddressId,address1_addressid,,,,Address 1: ID,Uniqueidentifier,False,Simple,None,
Organization (Account),,,Select the primary address type.,Address1_AddressTypeCode,address1_addresstypecode,,,,Address 1: Address Type,Choice,False,Simple,None,"Options:_x000D_
1: Bill To_x000D_
2: Ship To_x000D_
3: Primary_x000D_
4: Other_x000D_
Default: N/A"
Organization (Account),,,N/A,Address1_AddressTypeCodeName,address1_addresstypecodename,,,,N/A,Virtual,False,Simple,None,
Organization (Account),,,Type the city for the primary address.,Address1_City,address1_city,,,,City,Text,False,Simple,None,"Format: Text_x000D_
Max length: 80"
Organization (Account),,,Shows the complete primary address.,Address1_Composite,address1_composite,,,,Address 1,Multiline Text,False,Simple,None,"Format: TextArea_x000D_
Max length: 1000"
Organization (Account),,,Type the country or region for the primary address.,Address1_Country,address1_country,,,,Address 1: Country/Region,Text,False,Simple,None,"Format: Text_x000D_
Max length: 80"
Organization (Account),,,Type the county for the primary address.,Address1_County,address1_county,,,,Address 1: County,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,Type the fax number associated with the primary address.,Address1_Fax,address1_fax,,,,Address 1: Fax,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,Select the freight terms for the primary address to make sure shipping orders are processed correctly.,Address1_FreightTermsCode,address1_freighttermscode,,,,Address 1: Freight Terms,Choice,False,Simple,None,"Options:_x000D_
1: FOB_x000D_
2: No Charge_x000D_
Default: N/A"
Organization (Account),,,N/A,Address1_FreightTermsCodeName,address1_freighttermscodename,,,,N/A,Virtual,False,Simple,None,
Organization (Account),,,Type the latitude value for the primary address for use in mapping and other applications.,Address1_Latitude,address1_latitude,,,,Address 1: Latitude,Double,False,Simple,None,"Minimum value: -90_x000D_
Maximum value: 90_x000D_
Precision: 5"
Organization (Account),,,Type the first line of the primary address.,Address1_Line1,address1_line1,,,,Street 1,Text,False,Simple,None,"Format: Text_x000D_
Max length: 250"
Organization (Account),,,Type the second line of the primary address.,Address1_Line2,address1_line2,,,,Street 2,Text,False,Simple,None,"Format: Text_x000D_
Max length: 250"
Organization (Account),,,Type the third line of the primary address.,Address1_Line3,address1_line3,,,,Street 3,Text,False,Simple,None,"Format: Text_x000D_
Max length: 250"
Organization (Account),,,Type the longitude value for the primary address for use in mapping and other applications.,Address1_Longitude,address1_longitude,,,,Address 1: Longitude,Double,False,Simple,None,"Minimum value: -180_x000D_
Maximum value: 180_x000D_
Precision: 5"
Organization (Account),,,"Type a descriptive name for the primary address, such as Corporate Headquarters.",Address1_Name,address1_name,,,,Address 1: Name,Text,False,Simple,None,"Format: Text_x000D_
Max length: 200"
Organization (Account),,,Type the ZIP Code or postal code for the primary address.,Address1_PostalCode,address1_postalcode,,,,ZIP/Postal Code,Text,False,Simple,None,"Format: Text_x000D_
Max length: 20"
Organization (Account),,,Type the post office box number of the primary address.,Address1_PostOfficeBox,address1_postofficebox,,,,Address 1: Post Office Box,Text,False,Simple,None,"Format: Text_x000D_
Max length: 20"
Organization (Account),,,Type the name of the main contact at the account's primary address.,Address1_PrimaryContactName,address1_primarycontactname,,,,Address 1: Primary Contact Name,Text,False,Simple,None,"Format: Text_x000D_
Max length: 100"
Organization (Account),,,Select a shipping method for deliveries sent to this address.,Address1_ShippingMethodCode,address1_shippingmethodcode,,,,Address 1: Shipping Method,Choice,False,Simple,None,"Options:_x000D_
1: Airborne_x000D_
2: DHL_x000D_
3: FedEx_x000D_
4: UPS_x000D_
5: Postal Mail_x000D_
6: Full Load_x000D_
7: Will Call_x000D_
Default: N/A"
Organization (Account),,,N/A,Address1_ShippingMethodCodeName,address1_shippingmethodcodename,,,,N/A,Virtual,False,Simple,None,
Organization (Account),,,Type the state or province of the primary address.,Address1_StateOrProvince,address1_stateorprovince,,,,Address 1: State/Province,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,Type the main phone number associated with the primary address.,Address1_Telephone1,address1_telephone1,,,,Address Phone,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,Type a second phone number associated with the primary address.,Address1_Telephone2,address1_telephone2,,,,Address 1: Telephone 2,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,Type a third phone number associated with the primary address.,Address1_Telephone3,address1_telephone3,,,,Address 1: Telephone 3,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,"Type the UPS zone of the primary address to make sure shipping charges are calculated correctly and deliveries are made promptly, if shipped by UPS.",Address1_UPSZone,address1_upszone,,,,Address 1: UPS Zone,Text,False,Simple,None,"Format: Text_x000D_
Max length: 4"
Organization (Account),,,"Select the time zone, or UTC offset, for this address so that other people can reference it when they contact someone at this address.",Address1_UTCOffset,address1_utcoffset,,,,Address 1: UTC Offset,Whole number,False,Simple,None,"Minimum value: -1500_x000D_
Maximum value: 1500"
Organization (Account),,,Unique identifier for address 2.,Address2_AddressId,address2_addressid,,,,Address 2: ID,Uniqueidentifier,False,Simple,None,
Organization (Account),,,Select the secondary address type.,Address2_AddressTypeCode,address2_addresstypecode,,,,Address 2: Address Type,Choice,False,Simple,None,"Options:_x000D_
1: Default Value_x000D_
Default: 1"
Organization (Account),,,N/A,Address2_AddressTypeCodeName,address2_addresstypecodename,,,,N/A,Virtual,False,Simple,None,
Organization (Account),,,Type the city for the secondary address.,Address2_City,address2_city,,,,Address 2: City,Text,False,Simple,None,"Format: Text_x000D_
Max length: 80"
Organization (Account),,,Shows the complete secondary address.,Address2_Composite,address2_composite,,,,Address 2,Multiline Text,False,Simple,None,"Format: TextArea_x000D_
Max length: 1000"
Organization (Account),,,Type the country or region for the secondary address.,Address2_Country,address2_country,,,,Address 2: Country/Region,Text,False,Simple,None,"Format: Text_x000D_
Max length: 80"
Organization (Account),,,Type the county for the secondary address.,Address2_County,address2_county,,,,Address 2: County,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,Type the fax number associated with the secondary address.,Address2_Fax,address2_fax,,,,Address 2: Fax,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,Select the freight terms for the secondary address to make sure shipping orders are processed correctly.,Address2_FreightTermsCode,address2_freighttermscode,,,,Address 2: Freight Terms,Choice,False,Simple,None,"Options:_x000D_
1: Default Value_x000D_
Default: 1"
Organization (Account),,,N/A,Address2_FreightTermsCodeName,address2_freighttermscodename,,,,N/A,Virtual,False,Simple,None,
Organization (Account),,,Type the latitude value for the secondary address for use in mapping and other applications.,Address2_Latitude,address2_latitude,,,,Address 2: Latitude,Double,False,Simple,None,"Minimum value: -90_x000D_
Maximum value: 90_x000D_
Precision: 5"
Organization (Account),,,Type the first line of the secondary address.,Address2_Line1,address2_line1,,,,Address 2: Street 1,Text,False,Simple,None,"Format: Text_x000D_
Max length: 250"
Organization (Account),,,Type the second line of the secondary address.,Address2_Line2,address2_line2,,,,Address 2: Street 2,Text,False,Simple,None,"Format: Text_x000D_
Max length: 250"
Organization (Account),,,Type the third line of the secondary address.,Address2_Line3,address2_line3,,,,Address 2: Street 3,Text,False,Simple,None,"Format: Text_x000D_
Max length: 250"
Organization (Account),,,Type the longitude value for the secondary address for use in mapping and other applications.,Address2_Longitude,address2_longitude,,,,Address 2: Longitude,Double,False,Simple,None,"Minimum value: -180_x000D_
Maximum value: 180_x000D_
Precision: 5"
Organization (Account),,,"Type a descriptive name for the secondary address, such as Corporate Headquarters.",Address2_Name,address2_name,,,,Address 2: Name,Text,False,Simple,None,"Format: Text_x000D_
Max length: 200"
Organization (Account),,,Type the ZIP Code or postal code for the secondary address.,Address2_PostalCode,address2_postalcode,,,,Address 2: ZIP/Postal Code,Text,False,Simple,None,"Format: Text_x000D_
Max length: 20"
Organization (Account),,,Type the post office box number of the secondary address.,Address2_PostOfficeBox,address2_postofficebox,,,,Address 2: Post Office Box,Text,False,Simple,None,"Format: Text_x000D_
Max length: 20"
Organization (Account),,,Type the name of the main contact at the account's secondary address.,Address2_PrimaryContactName,address2_primarycontactname,,,,Address 2: Primary Contact Name,Text,False,Simple,None,"Format: Text_x000D_
Max length: 100"
Organization (Account),,,Select a shipping method for deliveries sent to this address.,Address2_ShippingMethodCode,address2_shippingmethodcode,,,,Address 2: Shipping Method,Choice,False,Simple,None,"Options:_x000D_
1: Default Value_x000D_
Default: 1"
Organization (Account),,,N/A,Address2_ShippingMethodCodeName,address2_shippingmethodcodename,,,,N/A,Virtual,False,Simple,None,
Organization (Account),,,Type the state or province of the secondary address.,Address2_StateOrProvince,address2_stateorprovince,,,,Address 2: State/Province,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,Type the main phone number associated with the secondary address.,Address2_Telephone1,address2_telephone1,,,,Address 2: Telephone 1,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,Type a second phone number associated with the secondary address.,Address2_Telephone2,address2_telephone2,,,,Address 2: Telephone 2,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,Type a third phone number associated with the secondary address.,Address2_Telephone3,address2_telephone3,,,,Address 2: Telephone 3,Text,False,Simple,None,"Format: Text_x000D_
Max length: 50"
Organization (Account),,,"Type the UPS zone of the secondary address to make sure shipping charges are calculated correctly and deliveries are made promptly, if shipped by UPS.",Address2_UPSZone,address2_upszone,,,,Address 2: UPS Zone,Text,False,Simple,None,"Format: Text_x000D_
Max length: 4"
Organization (Account),,,"Select the time zone, or UTC offset, for this address so that other people can reference it when they contact someone at this address.",Address2_UTCOffset,address2_utcoffset,,,,Address 2: UTC Offset,Whole number,False,Simple,None,"Minimum value: -1500_x000D_
Maximum value: 1500"
Organization (Account),,,For system use only.,Aging30,aging30,,,,Aging 30,Currency,False,Simple,None,"Minimum value: 0_x000D_
Maximum value: 100000000000000_x000D_
Precision: 2"
Organization (Account),,,The base currency equivalent of the aging 30 field.,Aging30_Base,aging30_base,,,,Aging 30 (Base),Currency,False,Simple,None,"Minimum value: -922337203685477_x000D_
Maximum value: 922337203685477_x000D_
Precision: 4"
Organization (Account),,,For system use only.,Aging60,aging60,,,,Aging 60,Currency,False,Simple,None,"Minimum value: 0_x000D_
Maximum value: 100000000000000_x000D_
Precision: 2"
Organization (Account),,,The base currency equivalent of the aging 60 field.,Aging60_Base,aging60_base,,,,Aging 60 (Base),Currency,False,Simple,None,"Minimum value: -922337203685477_x000D_
Maximum value: 922337203685477_x000D_
Precision: 4"
Organization (Account),,,For system use only.,Aging90,aging90,,,,Aging 90,Currency,False,Simple,None,"Minimum value: 0_x000D_
Maximum value: 100000000000000_x000D_
Precision: 2"
Organization (Account),,,The base currency equivalent of the aging 90 field.,Aging90_Base,aging90_base,,,,Aging 90 (Base),Currency,False,Simple,None,"Minimum value: -922337203685477_x000D_
Maximum value: 922337203685477_x000D_
Precision: 4"
Organization (Account),,,Select the legal designation or other business type of the account for contracts or reporting purposes.,BusinessTypeCode,businesstypecode,,,,Business Type,Choice,False,Simple,None,"Options:_x000D_
1: Default Value_x000D_
Default: 1"
Organization (Account),,,N/A,BusinessTypeCodeName,businesstypecodename,,,,N/A,Virtual,False,Simple,None,
Organization (Account),,,Shows who created the record.,CreatedBy,createdby,,,,Created By,Lookup,False,Simple,None,"Targets:_x000D_
systemuser"
Organization (Account),,,Shows the external party who created the record.,CreatedByExternalParty,createdbyexternalparty,,,,Created By (External Party),Lookup,False,Simple,None,"Targets:_x000D_
externalparty"
Organization (Account),,,N/A,CreatedByExternalPartyName,createdbyexternalpartyname,,,,N/A,Text,False,Simple,None,"Format: Text_x000D_
Max length: 100"
Organization (Account),,,N/A,CreatedByExternalPartyYomiName,createdbyexternalpartyyominame,,,,N/A,Text,False,Simple,None,"Format: Text_x000D_
Max length: 100"
Organization (Account),,,N/A,CreatedByName,createdbyname,,,,N/A,Text,False,Simple,None,"Format: Text_x000D_
Max length: 100"
Organization (Account),,,N/A,CreatedByYomiName,createdbyyominame,,,,N/A,Text,False,Simple,None,"Format: Text_x000D_
Max length: 100"
Organization (Account),,,Shows the date and time when the record was created. The date and time are displayed in the time zone selected in Microsoft Dynamics 365 options.,CreatedOn,createdon,,,,Created On,DateTime,False,Simple,None,Format: DateAndTime
Organization (Account),,,Shows who created the record on behalf of another user.,CreatedOnBehalfBy,createdonbehalfby,,,,Created By (Delegate),Lookup,False,Simple,None,"Targets:_x000D_
systemuser"
Organization (Account),,,N/A,CreatedOnBehalfByName,createdonbehalfbyname,,,,N/A,Text,False,Simple,None,"Format: Text_x000D_
Max length: 100"
Organization (Account),,,N/A,CreatedOnBehalfByYomiName,createdonbehalfbyyominame,,,,N/A,Text,False,Simple,None,"Format: Text_x000D_
Max length: 100"
Organization (Account),,,Type the credit limit of the account. This is a useful reference when you address invoice and accounting issues with the customer.,CreditLimit,creditlimit,,,,Credit Limit,Currency,False,Simple,None,"Minimum value: 0_x000D_
Maximum value: 100000000000000_x000D_
Precision: 2"
Organization (Account),,,Shows the credit limit converted to the system's default base currency for reporting purposes.,CreditLimit_Base,creditlimit_base,,,,Credit Limit (Base),Currency,False,Simple,None,"Minimum value: -922337203685477_x000D_
Maximum value: 922337203685477_x000D_
Precision: 4"
